	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
156	disney_princess (image)	image	fse_with_generator_shift	quality	0.2724609375	quality/disney_princess/ViT-B-32,	ViT-B-32
157	disney_princess (image)	image	fse_with_generator_shift	diversity	0.2305908203125	diversity/disney_princess/ViT-B-32,	ViT-B-32
158	disney_princess (image)	image	fse_with_generator_shift	quality	0.281982421875	quality/disney_princess/ViT-B-16,	ViT-B-16
159	disney_princess (image)	image	fse_with_generator_shift	diversity	0.204345703125	diversity/disney_princess/ViT-B-16,	ViT-B-16
160	remi_castaneda_sean_connery_final (image)	image	orig	quality	0.276123046875	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
161	remi_castaneda_sean_connery_final (image)	image	orig	diversity	0.26171875	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
162	remi_castaneda_sean_connery_final (image)	image	orig	quality	0.29345703125	quality/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
163	remi_castaneda_sean_connery_final (image)	image	orig	diversity	0.2381591796875	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
164	remi_castaneda_sean_connery_final (image)	image	e4e	quality	0.276611328125	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
165	remi_castaneda_sean_connery_final (image)	image	e4e	diversity	0.2393798828125	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
166	remi_castaneda_sean_connery_final (image)	image	e4e	quality	0.28369140625	quality/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
167	remi_castaneda_sean_connery_final (image)	image	e4e	diversity	0.21923828125	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
168	remi_castaneda_sean_connery_final (image)	image	fse	quality	0.27392578125	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
169	remi_castaneda_sean_connery_final (image)	image	fse	diversity	0.2464599609375	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
170	remi_castaneda_sean_connery_final (image)	image	fse	quality	0.279052734375	quality/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
171	remi_castaneda_sean_connery_final (image)	image	fse	diversity	0.2301025390625	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
172	remi_castaneda_sean_connery_final (image)	image	fse_with_features	quality	0.258544921875	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
173	remi_castaneda_sean_connery_final (image)	image	fse_with_features	diversity	0.322265625	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
174	remi_castaneda_sean_connery_final (image)	image	fse_with_features	quality	0.253662109375	quality/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
175	remi_castaneda_sean_connery_final (image)	image	fse_with_features	diversity	0.296630859375	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
176	remi_castaneda_sean_connery_final (image)	image	fse_with_generator_shift	quality	0.265625	quality/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
177	remi_castaneda_sean_connery_final (image)	image	fse_with_generator_shift	diversity	0.2861328125	diversity/remi_castaneda_sean_connery_final/ViT-B-32,	ViT-B-32
178	remi_castaneda_sean_connery_final (image)	image	fse_with_generator_shift	quality	0.26904296875	quality/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
179	remi_castaneda_sean_connery_final (image)	image	fse_with_generator_shift	diversity	0.265625	diversity/remi_castaneda_sean_connery_final/ViT-B-16,	ViT-B-16
180	stanislav_galai_04_23 (image)	image	orig	quality	0.230224609375	quality/stanislav_galai/ViT-B-32,	ViT-B-32
181	stanislav_galai_04_23 (image)	image	orig	diversity	0.265625	diversity/stanislav_galai/ViT-B-32,	ViT-B-32
182	stanislav_galai_04_23 (image)	image	orig	quality	0.211181640625	quality/stanislav_galai/ViT-B-16,	ViT-B-16
183	stanislav_galai_04_23 (image)	image	orig	diversity	0.24462890625	diversity/stanislav_galai/ViT-B-16,	ViT-B-16
184	stanislav_galai_04_23 (image)	image	e4e	quality	0.240966796875	quality/stanislav_galai/ViT-B-32,	ViT-B-32
185	stanislav_galai_04_23 (image)	image	e4e	diversity	0.255859375	diversity/stanislav_galai/ViT-B-32,	ViT-B-32
186	stanislav_galai_04_23 (image)	image	e4e	quality	0.21728515625	quality/stanislav_galai/ViT-B-16,	ViT-B-16
187	stanislav_galai_04_23 (image)	image	e4e	diversity	0.2322998046875	diversity/stanislav_galai/ViT-B-16,	ViT-B-16
188	stanislav_galai_04_23 (image)	image	fse	quality	0.23974609375	quality/stanislav_galai/ViT-B-32,	ViT-B-32
189	stanislav_galai_04_23 (image)	image	fse	diversity	0.27490234375	diversity/stanislav_galai/ViT-B-32,	ViT-B-32
190	stanislav_galai_04_23 (image)	image	fse	quality	0.2159423828125	quality/stanislav_galai/ViT-B-16,	ViT-B-16
191	stanislav_galai_04_23 (image)	image	fse	diversity	0.2489013671875	diversity/stanislav_galai/ViT-B-16,	ViT-B-16
192	stanislav_galai_04_23 (image)	image	fse_with_features	quality	0.22802734375	quality/stanislav_galai/ViT-B-32,	ViT-B-32
193	stanislav_galai_04_23 (image)	image	fse_with_features	diversity	0.35302734375	diversity/stanislav_galai/ViT-B-32,	ViT-B-32
194	stanislav_galai_04_23 (image)	image	fse_with_features	quality	0.211669921875	quality/stanislav_galai/ViT-B-16,	ViT-B-16
195	stanislav_galai_04_23 (image)	image	fse_with_features	diversity	0.32421875	diversity/stanislav_galai/ViT-B-16,	ViT-B-16
196	stanislav_galai_04_23 (image)	image	fse_with_generator_shift	quality	0.2288818359375	quality/stanislav_galai/ViT-B-32,	ViT-B-32
197	stanislav_galai_04_23 (image)	image	fse_with_generator_shift	diversity	0.3388671875	diversity/stanislav_galai/ViT-B-32,	ViT-B-32
198	stanislav_galai_04_23 (image)	image	fse_with_generator_shift	quality	0.212890625	quality/stanislav_galai/ViT-B-16,	ViT-B-16
199	stanislav_galai_04_23 (image)	image	fse_with_generator_shift	diversity	0.31494140625	diversity/stanislav_galai/ViT-B-16,	ViT-B-16
200	anastasia (image)	image	orig	quality	0.2337646484375	quality/anastasia/ViT-B-32,	ViT-B-32
201	anastasia (image)	image	orig	diversity	0.2666015625	diversity/anastasia/ViT-B-32,	ViT-B-32
202	anastasia (image)	image	orig	quality	0.2646484375	quality/anastasia/ViT-B-16,	ViT-B-16
203	anastasia (image)	image	orig	diversity	0.2474365234375	diversity/anastasia/ViT-B-16,	ViT-B-16
204	anastasia (image)	image	e4e	quality	0.23876953125	quality/anastasia/ViT-B-32,	ViT-B-32
205	anastasia (image)	image	e4e	diversity	0.243408203125	diversity/anastasia/ViT-B-32,	ViT-B-32
206	anastasia (image)	image	e4e	quality	0.267333984375	quality/anastasia/ViT-B-16,	ViT-B-16
207	anastasia (image)	image	e4e	diversity	0.22900390625	diversity/anastasia/ViT-B-16,	ViT-B-16
208	anastasia (image)	image	fse	quality	0.23876953125	quality/anastasia/ViT-B-32,	ViT-B-32
209	anastasia (image)	image	fse	diversity	0.2449951171875	diversity/anastasia/ViT-B-32,	ViT-B-32
210	anastasia (image)	image	fse	quality	0.262939453125	quality/anastasia/ViT-B-16,	ViT-B-16
211	anastasia (image)	image	fse	diversity	0.2288818359375	diversity/anastasia/ViT-B-16,	ViT-B-16
212	anastasia (image)	image	fse_with_features	quality	0.226806640625	quality/anastasia/ViT-B-32,	ViT-B-32
